ID,DateOfAssignment_en,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_en,Status,translation_source
,Before,52,52,Vaisala RS80-57H,Operational,NA
,Before,53,53,AVK-RF95 (Russian Federation),Operational,NA
,Before,54,54,Graw DFM-97 (Germany),Operational,NA
,Before,55,55,Meisei RS-01G (Japan),Operational,NA
,Before,56,56,M2K2 (France),Operational,NA
,Before,57,57,Modem M2K2-DC (France),Operational,NA
,Before,58,58,AVK-BAR (Russian Federation),Operational,NA
,Before,59,59,Modem M2K2-R 1680 MHz RDF radiosonde with pressure sensor chip (France),Operational,NA
,Before,60,60,Vaisala RS80/MicroCora (Finland),Operational,NA
,Before,61,61,"Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)",Operational,NA
,Before,62,62,Vaisala RS80/PCCora (Finland),Operational,NA
,Before,63,63,Vaisala RS80/Star (Finland),Operational,NA
,Before,64,64,"Orbital Sciences Corporation, Space Data Division, transponder radiosonde, type 909-11-XX, where XX corresponds to the model of the instrument (United States)",Operational,NA
,Before,65,65,"VIZ transponder radiosonde, model number 1499-520 (United States)",Operational,NA
,Before,66,66,Vaisala RS80 /Autosonde (Finland),Operational,NA
,Before,67,67,Vaisala RS80/Digicora III (Finland),Operational,NA
,Before,68,68,AVK-RZM-2 (Russian Federation),Operational,NA
,Before,69,69,MARL-A or Vektor-M-RZM-2 (Russian Federation),Operational,NA
,Before,70,70,Vaisala RS92/Star (Finland),Operational,NA
,Before,71,71,"Vaisala RS90/Loran/Digicora I, II or Marwin (Finland)",Operational,NA
,Before,72,72,Vaisala RS90/PC-Cora (Finland),Operational,NA
,Before,73,73,Vaisala RS90/Autosonde (Finland),Operational,NA
,Before,74,74,Vaisala RS90/Star (Finland),Operational,NA
,Before,75,75,AVK-MRZ-ARMA (Russian Federation),Operational,NA
,Before,76,76,AVK-RF95-ARMA (Russian Federation),Operational,NA
,Before,77,77,GEOLINK GPSonde GL98 (France),Operational,NA
,Before,78,78,Vaisala RS90/Digicora III (Finland),Operational,NA
,Before,79,79,"Vaisala RS92/Digicora I,II or Marwin (Finland)",Operational,NA
,Before,80,80,Vaisala RS92/Digicora III (Finland),Operational,NA
,Before,81,81,Vaisala RS92/Autosonde (Finland),Operational,NA
,Before,82,82,"Sippican MK2 GPS/STAR (United States) with rod thermistor, carbon element and derived pressure",Operational,NA
,Before,83,83,"Sippican MK2 GPS/W9000 (United States) with rod thermistor, carbon element and derived pressure",Operational,NA
,Before,84,84,"Sippican MARK II with chip thermistor, carbon element and derived pressure from GPS height",Operational,NA
,Before,85,85,"Sippican MARK IIA with chip thermistor, carbon element and derived pressure from GPS height",Operational,NA
,Before,86,86,"Sippican MARK II with chip thermistor, pressure and carbon element",Operational,NA
,Before,87,87,"Sippican MARK IIA with chip thermistor, pressure and carbon element",Operational,NA
,Before,88,88,MARL-A or Vektor-M-MRZ (Russian Federation),Operational,NA
,Before,89,89,MARL-A or Vektor-M-BAR (Russian Federation),Operational,NA
,Not applicable,90,90,Radiosonde not specified or unknown,Operational,NA
,Not applicable,91,91,Pressure only radiosonde,Operational,NA
,Not applicable,92,92,Pressure only radiosonde plus transponder,Operational,NA
,Not applicable,93,93,Pressure only radiosonde plus radar reflector,Operational,NA
,Not applicable,94,94,No pressure radiosonde plus transponder,Operational,NA
,Not applicable,95,95,No pressure radiosonde plus radar reflector,Operational,NA
,Not applicable,96,96,Descending radiosonde,Operational,NA
,Before,97,97,iMet-2/iMet-1500 RDF radiosonde with pressure sensor chip (South Africa),Operational,NA
,Before,98,98,iMet-2/iMet-1500 GPS radiosonde with derived pressure from GPS height (South Africa),Operational,NA
,Before,99,99,iMet-2/iMet-3200 GPS radiosonde with derived pressure from GPS height (South Africa),Operational,NA
,,Not available,100,Reserved for BUFR only,Operational,NA
,,01,101,Not vacant,Operational,NA
,,Not available,102-106,Reserved for BUFR only,Operational,NA
,,07,107,Not vacant,Operational,NA
,,Not available,108-109,Reserved for BUFR only,Operational,NA
,01/01/2008,10,110,"Sippican LMS5 w/Chip Thermistor, duct mounted capacitance relative humidity sensor and derived pressure from GPS height",Operational,NA
,01/01/2008,11,111,"Sippican LMS6 w/Chip Thermistor, external boom mounted capacitance relative humidity sensor, and derived pressure from GPS height",Operational,NA
,06/05/2015,12,112,Jin Yang RSG-20A with derived pressure from GPS height/GL-5000P (Republic of Korea),Operational,NA
,15/09/2010,13,113,Vaisala RS92/MARWIN MW32 (Finland),Operational,NA
,03/11/2011,14,114,Vaisala RS92/DigiCORA MW41 (Finland),Operational,NA
,01/12/2011,15,115,PAZA-12M/Radiotheodolite-UL (Ukraine),Operational,NA
,01/12/2011,16,116,PAZA-22/AVK-1 (Ukraine),Operational,NA
,02/05/2012,17,117,Graw DFM-09 (Germany),Operational,NA
,,18,118,Not vacant,Operational,NA
,15/05/2019,19,119,Polus-MRZ-N1 (Russian Federation),Operational,NA
,,20,120,Not vacant,Operational,NA
