ID,CodeFigureForIXIIXIX,CodeFigureForBUFR,InstrumentMakeAndType_ru,EquationCoefficients_a,EquationCoefficients_b,Status,translation_source
C03/841,841,841,"PROVOR, датчик проводимости",Not applicable,Not applicable,Operational,PDF
C03/842,842,842,"PROVOR, датчик проводимости",Not applicable,Not applicable,Operational,PDF
C03/843,843,843,"Система получения профилей по полярным областям океана (POPS), PROVOR, SBE CTD",,,Operational,PDF
C03/844,844,844,"Ныряющий буй, ARVOR, датчик проводимости Seabird",,,Operational,PDF
C03/845,845,845,"Webb Research, без датчика",Not applicable,Not applicable,Operational,PDF
C03/846,846,846,"Webb Research, датчик",Not applicable,Not applicable,Operational,PDF
C03/847,847,847,"Webb Research, датчик",Not applicable,Not applicable,Operational,PDF
C03/848,848,848,"APEX-EM, датчик проводимости SBE",,,Operational,PDF
C03/849,849,849,"APEX_D, датчик проводимости SBE",,,Operational,PDF
C03/850,850,850,"SOLO, без датчика проводимости",Not applicable,Not applicable,Operational,PDF
C03/851,851,851,"SOLO, датчик проводимости",Not applicable,Not applicable,Operational,PDF
C03/852,852,852,"SOLO, датчик проводимости FSI",Not applicable,Not applicable,Operational,PDF
C03/853,853,853,"Ныряющий буй, SOLO2 (SCRIPPS), датчик проводимости Seabird",,,Operational,PDF
C03/854,854,854,"S2A, датчик проводимости SBE",,,Operational,PDF
C03/855,855,855,"Ныряющий буй, NINJA,",Not applicable,Not applicable,Operational,PDF
C03/856,856,856,"Ныряющий буй, NINJA,",Not applicable,Not applicable,Operational,PDF
C03/857,857,857,"Ныряющий буй, NINJA,",Not applicable,Not applicable,Operational,PDF
C03/858,858,858,"Ныряющий буй, NINJA,",Not applicable,Not applicable,Operational,PDF
C03/859,859,859,"Ныряющий буй, NEMO,",Not applicable,Not applicable,Operational,PDF
C03/860,860,860,"Ныряющий буй, NEMO,",Not applicable,Not applicable,Operational,PDF
C03/861,861,861,"Ныряющий буй, NEMO,",Not applicable,Not applicable,Operational,PDF
C03/862,862,862,"SOLO_D, датчик проводимости SBE",,,Operational,PDF
C03/863,863,863,"NAVIS-A, датчик проводимости SBE",,,Operational,PDF
C03/864,864,864,"NINJA_D, датчик проводимости SBE",,,Operational,PDF
C03/865,865,865,"NOVA, датчик проводимости SBE",,,Operational,PDF
C03/866,866,866,"ALAMO, без датчика проводимости",,,Operational,PDF
C03/867,867,867,"ALAMO, датчик проводимости RBR",,,Operational,PDF
C03/868,868,868,"ALAMO, датчик проводимости SBE",,,Operational,PDF
C03/869,869,869,Зарезервирован,,,Operational,PDF
C03/870,870,870,НМ2000,Not applicable,Not applicable,Operational,PDF
C03/871,871,871,COPEX,Not applicable,Not applicable,Operational,PDF
C03/872,872,872,S2X,Not applicable,Not applicable,Operational,PDF
C03/873,873,873,ALTO,Not applicable,Not applicable,Operational,PDF
C03/874,874,874,SOLO_D_MRV,Not applicable,Not applicable,Operational,PDF
C03/900,900,900,Sippican LMP-5 XBT,9.727,-0.0473,Operational,PDF
C03/901,901,901,"Заякоренный ледовый автоматический профилирующий зонд (ITP), SBE CTD",,,Operational,PDF
C03/902,902,902,"Профилометр, функционирующий на движущемся судне (MVP), Brook Ocean",,,Operational,PDF
C03/903,903,903,Sea-Bird CTD,,,Operational,PDF
C03/904,904,904,AML Oceanographic CTD,,,Operational,PDF
C03/905,905,905,Falmouth Scientific CTD,,,Operational,PDF
C03/906,906,906,Океанографические датчики CTD,,,Operational,PDF
C03/907,907,907,Valeport CTD,,,Operational,PDF
C03/908,908,908,Oceanscience MVP,,,Operational,PDF
C03/909,909,909,IDRONAUT CTD,,,Operational,PDF
C03/910,910,910,Sea-Bird SBE 38,,,Operational,PDF
C03/995,995,995,"Прибор, прикрепленный, к морским млекопитающим",Not applicable,Not applicable,Operational,PDF
C03/996,996,996,"Прибор, прикрепленный к животным, не являющимся",Not applicable,Not applicable,Operational,PDF
