ID,Code,Agency_ru,Type_ru,InstrumentShortName_ru,InstrumentLongName_ru,Status,translation_source
C08/7,7,,,,,Operational,NA
C08/8,8,,,,,Operational,NA
C08/9,9,,,,,Operational,NA
C08/10,10,БНКЦ,Радиометр,AATSR,"Усовершенствованный радиометр, сканирующий вдоль трассы",Operational,PDF
C08/11,11,БНКЦ,Радиометр,ATSR,"Радиометр, сканирующий вдоль трассы",Operational,PDF
C08/12,12,БНКЦ,Радиометр,ATSR-2,"Радиометр, сканирующий вдоль трассы-2",Operational,PDF
C08/13,13,БНКЦ,Радиометр,MWR,Микроволновый радиометр,Operational,PDF
C08/14,14,,,,,Operational,NA
C08/15,15,,,,,Operational,NA
C08/30,30,КНЕС,Связь,ARGOS,,Operational,PDF
C08/40,40,КНЕС,Лидар,Лазерные отражатели,,Operational,PDF
C08/41,41,,,,,Operational,NA
C08/42,42,,,,,Operational,NA
C08/47,47,КНЕС,Радиолокацион-,POSEIDON-1,Орбитальная навигационно-позициони-,Operational,PDF
C08/48,48,КНЕС,Радиолокацион-,POSEIDON-2,Орбитальная навигационно-позициони-,Operational,PDF
C08/49,49,КНЕС,Радиолокационный	 POSEIDON-3,,Орбитальная навигационно-позициони-,Operational,PDF
C08/50,50,КНЕС,Радиометр - формирователь изображения,ATSR/M,ATSR/M,Operational,PDF
C08/51,51,КНЕС,Оптические приборы для получения изображения высокого разрешения,HRG,,Operational,PDF
C08/52,52,КНЕС,Радиометр,HRV,Высокое разрешение в видимом диапазоне,Operational,PDF
C08/53,53,КНЕС,Радиометр,HRVIR,Высокое разрешение в видимом и инфракрасном диапазонах,Operational,PDF
C08/54,54,КНЕС,Радиометр,ScaRaB/MV2,Устройство сканирования для определения радиационного баланса Земли,Operational,PDF
C08/55,55,КНЕС,Радиометр,POLDER,POLDER,Operational,PDF
C08/56,56,КНЕС,Многоспектраль-,IIR,Радиометр для получения изображений,Operational,PDF
C08/57,57,ЕКА/,Радиолокацион-,POSEIDON-4,"Высокоточная альтиметрия, двухчастот-",Operational,PDF
C08/60,60,КНЕС,Спектрометр,VEGETATION,РАСТИТЕЛЬНОСТЬ,Operational,PDF
C08/61,61,КНЕС,Спектрометр,WINDII,WINDII,Operational,PDF
C08/62,62,КНЕС,Высотомер,AltiKa,"Радиолокационный высотомер, работающий в диапазоне Ka",Operational,PDF
C08/63,63,,,,,Operational,NA
C08/80,80,ККА,Связь,RADARSAT DTT,,Operational,PDF
C08/81,81,ККА,Связь,RADARSAT TTC,,Operational,PDF
C08/85,85,ККА,Радиолокатор,SAR (CSA),Радиолокатор с синтезированной апертурой (ККА),Operational,PDF
C08/90,90,ККА,Радиометр,MOPITT,Измерения загрязнения в тропосфере,Operational,PDF
C08/91,91,ККА,Приборы для,OSIRIS,Оптический спектрограф и система,Operational,PDF
C08/92,92,ККА,Сканирующий,ACE-FTS,Эксперимент в области химии,Operational,PDF
C08/97,97,КСИРО,Радиометр,Панхроматический прибор для получения изображений,,Operational,PDF
C08/98,98,CRCSS,Прибор для зондирования атмосферной температуры и влажности,Приемник ГСОМ,,Operational,PDF
C08/102,102,ДЛР,Радиометр,Зонд ГСОМ CHAMP,Приемник данных космической ГСОМ TurboRouge (TRSR),Operational,PDF
C08/103,103,ДЛР,Радиометр,IGOR,Интергрированный приемник затмений ГСОМ,Operational,PDF
C08/104,104,НАСА,Прибор ГНСС для затменного зондирования,Tri-G,"Triple-G (GPS, Galileo, GLONASS)",Operational,PDF
C08/116,116,ДЛР,Магнитометр,Комплект графитационного оборудования CHAMP (акселерометр + ГСОМ),Акселерометр STAR,Operational,PDF
C08/117,117,ДЛР,Магнитометр,Комплект магнитометри-,Магнитометр Оверхаузера (OVM) и,Operational,PDF
C08/120,120,ЕКА,Связь,ENVISAT Comms,Комплект оборудования связи на спутнике ENVISAT,Operational,PDF
C08/121,121,ЕКА,Связь,ERS Comms,Комплект оборудования связи для спутника ERS,Operational,PDF
C08/130,130,ЕКА,Лидар,ALADIN,Доплеровский лазерный прибор для зондирования атомсферы,Operational,PDF
C08/131,131,ЕКА,Лидар,ATLID,Атомсферный лидар,Operational,PDF
C08/140,140,ЕКА,Радиолокатор,AMI/SAR/image,Прибор активного микроволнового зондирования - режим изображений,Operational,PDF
C08/141,141,ЕКА,Радиолокатор,AMI/SAR/wave,Прибор активного микроволнового зондирования - волновой режим,Operational,PDF
C08/142,142,ЕКА,Радиолокатор,AMI/scatterometer,Прибор активного микроволнового зондирования - режим измерения ветра,Operational,PDF
C08/143,143,ЕКА,Радиолокатор,ASAR,Усовершенствованный радиолокатор с синтезированной апертурой,Operational,PDF
C08/144,144,ЕКА,Микроволновый,ASAR,Усовершенствованный радиолокатор,Operational,PDF
C08/145,145,ЕКА,Микроволновый,ASAR,Усовершенствованный радиолокатор с,Operational,PDF
C08/146,146,ЕКА,Радиолокатор для,CPR,Радиолокатор для определения харак-,Operational,PDF
C08/147,147,ЕКА,Радиолокатор,RA-2/MWR,Радиолокационный высотомер-2,Operational,PDF
C08/148,148,ЕКА,Радиолокатор,RA/MWR,Радиолокационный высотомер,Operational,PDF
C08/150,150,ЕКА,Скаттерометр,SCATTEROMETER,Скаттерометр,Operational,PDF
C08/151,151,ЕКА,Радар с,РСА-C,Радиолокатор с синтезированной,Operational,PDF
C08/152,152,ЕКА,Надирный,SW,Зонд TROPOMI - инструмент,Operational,PDF
C08/161,161,ЕКА,Радиометр,MIPAS,Интерферометрический пассивный атмосферный зонд Михельсона,Operational,PDF
C08/162,162,ЕКА,Многоспектральные радиометры для получения изображений (пассивные микроволновые),MWR-2,Микроволновый радиометр-2,Operational,PDF
C08/163,163,ЕКА,Приборы для,SOPRANO,Субмиллиметровые наблюдения процессов,Operational,PDF
C08/170,170,ЕКА,Приборы для,GOME,Глобальный эксперимент по мониторингу,Operational,PDF
C08/172,172,ЕКА,Спектрометр,GOMOS,Мониторинг глобального озона с помощью затмения звезд,Operational,PDF
C08/173,173,,,,,Operational,NA
