ID,Code,Agency_fr,Type_fr,InstrumentShortName_fr,InstrumentLongName_fr,Status,translation_source
C08/7,7,,,,,Operational,NA
C08/8,8,,,,,Operational,NA
C08/9,9,,,,,Operational,NA
C08/10,10,BNSC,Radiomètre,AATSR,Radiomètre perfectionné à balayage dans le sens de la trace au sol,Operational,PDF
C08/11,11,BNSC,Radiomètre,ATSR,Radiomètre à balayage dans le sens de la trace au sol,Operational,PDF
C08/12,12,BNSC,Radiomètre,ATSR-2,Radiomètre à balayage dans le sens de la trace au sol - 2,Operational,PDF
C08/13,13,BNSC,Radiomètre,MWR,Radiomètre hyperfréquence,Operational,PDF
C08/14,14,,,,,Operational,NA
C08/15,15,,,,,Operational,NA
C08/30,30,CNES,Communications,ARGOS,,Operational,PDF
C08/40,40,CNES,Lidar,Réflecteurs laser,,Operational,PDF
C08/41,41,CNES,Lidar,DORIS,Détermination Doppler d'orbite et radio-,Operational,PDF
C08/42,42,CNES,Lidar,DORIS-NG,Détermination Doppler d'orbite et radiolocalisation intégrées par,Operational,PDF
C08/47,47,CNES,Altimètre radar,POSEIDON-1,Navigateur en orbite de localisation de,Operational,PDF
C08/48,48,CNES,Altimètre radar,POSEIDON-2,Navigateur en orbite de localisation de,Operational,PDF
C08/49,49,CNES,Altimètre radar,POSEIDON-3,Navigateur en orbite de localisation de,Operational,PDF
C08/50,50,CNES,Radiomètre imageur	 ATSR/M multispectral,,ATSR/M,Operational,PDF
C08/51,51,CNES,Imageur optique haute résolution,HRG,,Operational,PDF
C08/52,52,CNES,Radiomètre,HRV,Haute résolution dans le spectre visible,Operational,PDF
C08/53,53,CNES,Radiomètre,HRVIR,Haute résolution dans le spectre visible et l'infrarouge,Operational,PDF
C08/54,54,CNES,Radiomètre,ScaRaB/MV2,Scanner du bilan radiatif de la Terre,Operational,PDF
C08/55,55,CNES,Radiomètre,POLDER,POLDER,Operational,PDF
C08/56,56,CNES,Radiomètre imageur	 IIR multispectral,,Radiomètre imageur dans l'infrarouge,Operational,PDF
C08/57,57,,,,,Operational,NA
C08/60,60,CNES,Spectromètre,VEGETATION,VEGETATION,Operational,PDF
C08/61,61,CNES,Spectromètre,WINDII,WINDII,Operational,PDF
C08/62,62,CNES,Altimètre,AltiKa,Altimètre radar en bande Ka,Operational,PDF
C08/63,63,,,,,Operational,NA
C08/80,80,CSA,Communications,RADARSAT DTT,,Operational,PDF
C08/81,81,CSA,Communications,RADARSAT TTC,,Operational,PDF
C08/85,85,CSA,Radar,SAR (CSA),Radar à ouverture synthétique (CSA),Operational,PDF
C08/90,90,CSA,Radiomètre,MOPITT,Mesure de la pollution dans la troposphère,Operational,PDF
C08/91,91,,,,,Operational,NA
C08/92,92,CSA,Sondage au limbe,ACE-FTS,Expérience sur la chimie atmosphérique - Spectromètre à transformée de Fourier,Operational,PDF
C08/97,97,CSIRO,Radiomètre,,Imageur panchromatique,Operational,PDF
C08/98,98,CRCSS,Sondeur de température et d'humidité de l'atmosphère,Récepteur GPS,,Operational,PDF
C08/102,102,DLR,Radiomètre,Sondeur GPS CHAMP	 Récepteur spatial GPS TurboRogue,(TRSR),Operational,PDF
C08/103,103,DLR,Radiomètre,IGOR,Récepteur intégré à radio-occultation GPS,Operational,PDF
C08/104,104,NASA,Sondeur à occultation GNSS,Tri-G,"Triple-G (GPS, Galileo, GLONASS)",Operational,PDF
C08/116,116,DLR,Magnétomètre,Ensemble de gravité CHAMP (accéléromètre + GPS),Accéléromètre STAR,Operational,PDF
C08/117,117,DLR,Magnétomètre,Ensemble de magné-	 Magnétomètre Overhauser (OVM) et,,Operational,PDF
C08/120,120,ESA,Communications,ENVISAT Comms,Ensemble de communications pour ENVISAT,Operational,PDF
C08/121,121,ESA,Communications,ERS Comms,Ensemble de communications pour ERS de l'atmosphère,Operational,PDF
C08/130,130,,,,,Operational,NA
C08/131,131,ESA,Lidar,ATLID,Lidar atmosphérique mode image mode onde mode vent,Operational,PDF
C08/140,140,,,,,Operational,NA
C08/141,141,,,,,Operational,NA
C08/142,142,,,,,Operational,NA
C08/143,143,ESA,Radar,ASAR,ASAR,Operational,PDF
C08/144,144,ESA,Radar imageur,ASAR,Radar perfectionné à ouverture,Operational,PDF
C08/145,145,ESA,Radar imageur,ASAR,Radar perfectionné à ouverture,Operational,PDF
C08/146,146,ESA,Radar profileur de nuage et radar de pluie,CPR,Radar nuage,Operational,PDF
C08/147,147,ESA,Radar,RA-2/MWR,Altimètre radar - 2,Operational,PDF
C08/148,148,ESA,Radar,RA/MWR,Altimètre radar,Operational,PDF
C08/150,150,ESA,Diffusiomètre,SCATTEROMETER,Diffusiomètre,Operational,PDF
C08/151,151,ESA,Radar imageur,C-SAR,Radar à ouverture synthétique en bande C surveillance de la troposphère,Operational,PDF
C08/152,152,,,,,Operational,NA
C08/161,161,ESA,Radiomètre,MIPAS,Sondeur atmosphérique passif interférométrique Michelson,Operational,PDF
C08/162,162,ESA,Radiomètre imageur multispectral (hyperfréquence passive),MWR-2,Radiomètre hyperfréquence-2,Operational,PDF
C08/163,163,,,,,Operational,NA
C08/170,170,,,,,Operational,NA
C08/172,172,ESA,Spectromètre,GOMOS,Surveillance de l'ozone à l'échelle du globe par occultation des étoiles,Operational,PDF
C08/173,173,,,,,Operational,NA
C08/174,174,ESA,Spectromètre,MERIS,Spectromètre d'imagerie à résolution moyenne,Operational,PDF
C08/175,175,ESA,Spectromètre,SCIAMACHY,Spectromètre d'absorption d'imagerie à balayage pour cartographie atmosphérique,Operational,PDF
C08/176,176,ESA,Radiomètre,MIRAS,Radiomètre imageur hyperfréquence à synthèse d'ouverture,Operational,PDF
C08/177,177,ESA,Altimètre radar,SIRAL,SAR/altimètre radar interférométrique,Operational,PDF
C08/178,178,ESA,Altimètre radar,SRAL,Altimètre radar à ouverture synthétique,Operational,PDF
C08/179,179,ESA,Imageur optique,OLCI,Imageur de la couleur de l'océan et,Operational,PDF
